weight strategy	cnn keep prob	cnn filter shapes	cnn pool	do attention	norm type	dnn nonlin	zscore	opt/ lr	lr decay rate	lr decay delay	input keep prob	grad clip	exclude pre onsets	exclude post onsets	Pooling Method	do transformer	d model	num transformer layers	num heads	ff dim	micro xentropy avg	micro pos xentropy avg	micro auroc	micro auprc	micro fscore	micro precision	micro recall	micro threshold	micro accuracy	perchart xentropy avg	perchart xentropy avg sd	perchart xentropy avg min	perchart xentropy avg max	perchart pos xentropy avg	perchart pos xentropy avg sd	perchart pos xentropy avg min	perchart pos xentropy avg max	perchart auroc	perchart auroc sd	perchart auroc min	perchart auroc max	perchart auprc	perchart auprc sd	perchart auprc min	perchart auprc max	perchart fscore	perchart fscore sd	perchart fscore min	perchart fscore max	perchart precision	perchart precision sd	perchart precision min	perchart precision max	perchart recall	perchart recall sd	perchart recall min	perchart recall max	perchart threshold	perchart threshold sd	perchart threshold min	perchart threshold max	perchart accuracy	perchart accuracy sd	perchart accuracy min	perchart accuracy max	perchart perplexity	perchart perplexity sd	perchart perplexity min	perchart perplexity max	perchart density rel	perchart density rel sd	perchart density rel min	perchart density rel max	perchart fscore diff perchart	perchart fscore diff perchart sd	perchart fscore diff perchart min	perchart fscore diff perchart max	perchart precision diff perchart	perchart precision diff perchart sd	perchart precision diff perchart min	perchart precision diff perchart max	perchart recall diff perchart	perchart recall diff perchart sd	perchart recall diff perchart min	perchart recall diff perchart max	perchart threshold diff perchart	perchart threshold diff perchart sd	perchart threshold diff perchart min	perchart threshold diff perchart max	perchart fscore all perchart	perchart fscore all perchart sd	perchart fscore all perchart min	perchart fscore all perchart max	perchart precision all perchart	perchart precision all perchart sd	perchart precision all perchart min	perchart precision all perchart max	perchart recall all perchart	perchart recall all perchart sd	perchart recall all perchart min	perchart recall all perchart max	perchart threshold all perchart	perchart threshold all perchart sd	perchart threshold all perchart min	perchart threshold all perchart max	perchart fscore diff micro	perchart fscore diff micro sd	perchart fscore diff micro min	perchart fscore diff micro max	perchart precision diff micro	perchart precision diff micro sd	perchart precision diff micro min	perchart precision diff micro max	perchart recall diff micro	perchart recall diff micro sd	perchart recall diff micro min	perchart recall diff micro max	perchart threshold diff micro	perchart threshold diff micro sd	perchart threshold diff micro min	perchart threshold diff micro max	perchart fscore all micro	perchart fscore all micro sd	perchart fscore all micro min	perchart fscore all micro max	perchart precision all micro	perchart precision all micro sd	perchart precision all micro min	perchart precision all micro max	perchart recall all micro	perchart recall all micro sd	perchart recall all micro min	perchart recall all micro max	perchart threshold all micro	perchart threshold all micro sd	perchart threshold all micro min	perchart threshold all micro max	rnn cell type	dnn keep prob	rnn keep prob	eval type
rect	1	"7,2,16,5,2,32"	"1,1,2,2"	TRUE	layer	sigmoid	TRUE	adam/0.001	0.75	2	0.7	1	FALSE	TRUE	max	FALSE	N/A	N/A	N/A	N/A		0.19297872	2.0256176	0.980344621	0.842563345	0.794768612	0.774509804	0.816115702	0.06084287	0.982504121	0.1952081	0.06958719	0.10882641	0.2992632	2.13635	7.26E-01	1.0818584	3.188108	0.98070252	0.006792631	0.969484545	0.992087672	0.83288926	0.052332853	0.756335476	0.941110337	0.806454869	0.045305434	0.713942308	0.866425993	0.789416578	0.055066555	0.700471698	0.874509804	0.826119205	0.050699738	0.727941176	0.89787234	0.16111849	0.24943484	0.00346463	0.79177743	0.983754887	0.0046456	0.97417428	0.988950276	1.2185197	0.085180536	1.1149689	1.3488647	1.04932251	0.068210602	0.925589837	1.131284916	0.783458013	0.055946742	0.676240209	0.85029164	0.81930939	0.053993784	0.723463687	0.89009498	0.753873922	0.075211574	0.634803922	0.855072464	2.53E-01	1.29E-01	1.22E-01	0.38415936	0.772659621	0.065543377	0.65569273	0.859137056	0.8189507	0.049333503	0.739599384	0.879220779	0.737625068	0.099429936	0.585784314	0.869565217	2.55E-01	3.93E-03	2.51E-01	2.60E-01	0.7839971	0.056670529	0.676165803	0.855520505	0.805370217	0.054906743	0.717032967	0.870346598	0.768135169	0.080721529	0.638436482	0.873188406	1.70E-01	5.15E-02	1.13E-01	2.30E-01	0.782390058	0.056859076	0.677042802	0.860307692	0.792517275	0.053715996	0.696148359	0.853479853	0.778365237	0.087450764	0.638436482	0.884057971	1.17E-01	0.003762723	0.11487658	lstm	1	1	hamming
rect	0.9	"3,3,16,3,3,32"	"2,2,1,1"	FALSE	none	relu	FALSE	adagrad/0.1	1	0	1	1	FALSE	FALSE	max	FALSE	N/A	N/A	N/A	N/A		0.17604315	2.4460979	0.981876809	0.84959863	0.803781416	0.807318203	0.800275482	0.06319381	0.983781054	0.17810905	0.054017056	0.094740875	0.24404898	2.479946	7.97E-01	1.6148964	3.9070387	0.98195465	0.008799457	0.963553945	0.995141789	0.832390728	0.051423564	0.787232856	0.926131401	0.807937269	0.034576986	0.768586387	0.861460957	0.802936719	0.062171711	0.670932358	0.863636364	0.820641513	0.063615625	0.707803993	0.899509804	0.12926182	0.17903998	0.012941154	0.5729063	0.983818219	0.004916626	0.97487702	0.989093779	1.1966916	0.064160645	1.0993739	1.2764069	1.03223665	0.147982099	0.827586207	1.340686275	0.794800289	0.035291202	0.747706422	0.844580777	0.815268549	0.06885837	0.702586207	0.912524851	0.781493497	0.053809432	0.67876588	0.878723404	0.116534635	0.07262986	0.043548524	0.1995565	0.79156334	0.043028553	0.729295426	0.847368421	0.822402183	0.05085334	0.735660848	0.889502762	0.765803538	0.057545189	0.664495114	0.833333333	0.115988806	0.001838983	0.11459085	0.12061099	0.798678378	0.038628564	0.747099768	0.853932584	0.803926281	0.055642519	0.709251101	0.882142857	0.796627898	0.048030852	0.713248639	0.865957447	0.07168412	0.018113934	0.052800152	0.09139687	0.798571796	0.03939904	0.746791132	0.856170213	0.799153765	0.050404007	0.712694878	0.870242215	0.800487254	0.049326892	0.724137931	0.861702128	0.062061816	0.000475692	0.061307047	lstm	1	0.5	hamming
last	0.7	"3,3,16,3,3,32"	"2,2,1,1"	TRUE	none	relu	TRUE	sgd/0.1	0.25	2	0.9	2.5	FALSE	FALSE	avg	FALSE	N/A	N/A	N/A	N/A		0.19670705	2.0604615	0.980094391	0.856804514	0.808861761	0.79670452	0.821395776	0.07313401	0.983885877	0.19927183	0.07057302	0.10316933	0.31587484	2.1362042	7.18E-01	1.2062839	3.0882711	0.979652248	0.007529835	0.966550323	0.990280814	0.840197731	0.055149592	0.778671513	0.938676708	0.816511067	0.037206082	0.76848091	0.858530662	0.80363882	0.057551861	0.706365503	0.880952381	0.832912399	0.042791674	0.770358306	0.917021277	0.1487881	0.18736593	0.016647888	0.6134147	0.984568229	0.004563975	0.974964863	0.989596039	1.2235613	0.08655924	1.108679	1.3714586	1.041647412	0.09008369	0.914700544	1.193627451	0.79648758	0.047187745	0.720200753	0.845901639	0.828262657	0.057157345	0.737789203	0.897079277	0.770168303	0.059802405	0.646579805	0.844202899	0.25960895	0.07178982	0.18451431	0.33433175	0.793163363	0.0513684	0.714686623	0.850455137	0.829290592	0.052112168	0.75	0.893442623	0.763498676	0.069672344	0.622149837	0.849637681	0.26090652	0.004227214	0.25678477	0.26798278	0.809496994	0.040332209	0.751504729	0.852525253	0.811315841	0.066986006	0.713043478	0.893296854	0.8123336	0.049529585	0.711726384	0.89787234	0.16663975	0.11625211	0.04937726	0.28898242	0.800789966	0.0441282	0.735436893	0.852811118	0.805322221	0.049984992	0.728365385	0.868725869	0.79952686	0.060848291	0.669381107	0.869565217	0.12472474	0.003262031	0.12113076	lstm	1	1	hamming
rect	0.9	"7,3,10,3,3,20"	"2,2,2,2"	TRUE	none	sigmoid	FALSE	sgd/0.01	0.95	2	1	5	FALSE	TRUE	max	FALSE	N/A	N/A	N/A	N/A	0.9989417	0.983401512	0.843946333	0.815033496	0.806335655	0.823921028	0.28456464	0.984476696	0.09145713	0.02249686	0.06483078	0.123175636	1.0027261	2.76E-01	0.6522125	1.6234611	0.983084604	0.007515774	0.967013012	0.991399623	0.835031586	0.068571304	0.724330524	0.943112548	0.820369099	0.042529445	0.731914894	0.866272189	0.797132049	0.067476016	0.646616541	0.865019011	0.848838685	0.03657707	0.78990228	0.908188586	0.2639426	0.09200599	0.09216183	0.37988833	0.984635263	0.004812887	0.975228391	0.989408192	1.0960475	0.024711384	1.0669785	1.1310831	1.073060045	0.106861302	0.954627949	1.303921569	0.811279419	0.042127461	0.720524017	0.858242463	0.79160654	0.072132196	0.649606299	0.888446215	0.836701732	0.039927685	0.778501629	0.887234043	0.26118898	0.058164783	0.20097974	0.32623872	0.810625202	0.039198964	0.728778468	0.849802372	0.792814443	0.083118998	0.630824373	0.905898876	0.838052374	0.046584548	0.760435572	0.904255319	0.2599622	0.001377909	0.2578702	0.26237607	0.811791995	0.042881965	0.719912473	0.863291139	0.786592143	0.069704388	0.650197628	0.881136951	0.84298163	0.041149665	0.778501629	0.889447236	0.24830164	0.0727945	0.174864	0.32623872	0.808618913	0.041803571	0.723790323	0.855483871	0.778462558	0.085845356	0.614726027	0.891129032	0.850726926	0.045516467	0.774954628	0.914893617	0.22035357	0.001156242	0.2194497	0.22325285		gru	1	0.5	hamming
rect	0.8	"7,2,16,5,2,32"	"2,2,1,1"	FALSE	layer	sigmoid	TRUE	sgd/0.01	0.95	0	0.8	5	FALSE	FALSE	max	FALSE	N/A	N/A	N/A	N/A	0.9885596	0.982445109	0.854361384	0.815374361	0.789926819	0.84251607	0.20625585	0.984162228	0.09357503	0.022925893	0.062018316	0.12736468	0.9902122	2.15E-01	0.6660973	1.437748	0.98228713	0.007436926	0.967541641	0.993478937	0.84761152	0.053495289	0.775153006	0.943002344	0.819489196	0.040100777	0.749238579	0.859975217	0.801700926	0.071134711	0.639514731	0.874336283	0.844514705	0.04851368	0.758957655	0.921276596	0.25126982	0.12803458	0.14059596	0.54420453	0.984599928	0.00488177	0.974701335	0.989452536	1.0983819	0.025215924	1.0639818	1.1358312	1.065001969	0.145822899	0.94639866	1.414215686	0.809809706	0.042388327	0.729574223	0.856598985	0.792546612	0.063148922	0.687635575	0.876623377	0.83082513	0.04212333	0.763843648	0.880851064	0.2520169	0.076248266	0.17522746	0.32880938	0.810440842	0.040805431	0.739130435	0.849527085	0.799266469	0.084113006	0.6640625	0.898591549	0.829349286	0.040276387	0.780399274	0.895744681	0.25268418	0.001708081	0.25120243	0.25667262	0.810768891	0.042781015	0.734375	0.8553137	0.792708719	0.070851225	0.674180328	0.883597884	0.833723919	0.037832778	0.771986971	0.891489362	0.24306257	0.049436502	0.1922951	0.2952226	0.810990764	0.039870799	0.740343348	0.847457627	0.79206479	0.081325571	0.658396947	0.891184573	0.838131583	0.039783103	0.78584392	0.904255319	0.22864042	0.00102661	0.22721113	0.23037252		gru	0.5	1	hamming
last	0.8	"5,3,10,3,3,20"	"1,3,1,3"	FALSE	none	sigmoid	TRUE	adagrad/0.01	0.5	2	0.9	5	FALSE	TRUE	max	FALSE	N/A	N/A	N/A	N/A	0.9391815	0.983103317	0.863939909	0.821097329	0.799912911	0.843434343	0.26025662	0.984743518	0.09565577	0.02583713	0.06239448	0.13486063	0.9531516	2.17E-01	0.654773	1.3074158	0.982685303	0.007122823	0.970493732	0.990615911	0.850517854	0.063231523	0.739270365	0.947399203	0.826205751	0.03862486	0.75862069	0.878353088	0.810152451	0.072941657	0.661202186	0.883312422	0.848455866	0.037125786	0.804469274	0.914893617	0.29531267	0.11634149	0.16225915	0.48624042	0.985343693	0.004324956	0.975755446	0.989452536	1.1007476	0.028453702	1.0643822	1.1443774	1.05808546	0.129193488	0.921960073	1.345588235	0.812265731	0.04603406	0.717770035	0.860342556	0.809371637	0.074823839	0.682119205	0.917134831	0.818927501	0.040463966	0.757352941	0.876595745	0.32657644	0.011227294	0.31507778	0.3412506	0.811685543	0.044523212	0.722222222	0.857521537	0.810245369	0.075989652	0.684210526	0.920341394	0.817389933	0.040377981	0.764705882	0.880851064	0.32606518	0.002448706	0.32379213	0.330725	0.816032717	0.040249011	0.744186047	0.861056751	0.794917241	0.073964276	0.678787879	0.90784044	0.843548496	0.038007588	0.788273616	0.914893617	0.2712949	0.014604564	0.25577983	0.28653747	0.813611519	0.044301625	0.727480046	0.860510806	0.801828736	0.074148186	0.680170576	0.911234397	0.829925345	0.039262328	0.7752443	0.895744681	0.29967517	0.001293954	0.2981781	0.3021667		rnn	1	0.5	hamming
rect	0.9	"7,3,10,3,3,20"	"1,3,1,3"	TRUE	layer	tanh	FALSE	sgd/0.001	1	2	0.7	2.5	FALSE	TRUE	max	FALSE	N/A	N/A	N/A	N/A	0.95697063	0.982650998	0.845080222	0.822690293	0.799436864	0.847337006	0.249603	0.984838811	0.0959982	0.019923056	0.07107162	0.12475948	0.9619386	2.72E-01	0.6220037	1.5654353	0.982337492	0.008892528	0.963918884	0.993774854	0.838880718	0.069965147	0.7284355	0.952131527	0.825768824	0.045569343	0.735062007	0.879288437	0.808120761	0.069678529	0.680584551	0.901041667	0.847363444	0.03938968	0.799019608	0.938297872	0.28252804	0.09240452	0.16922066	0.4328027	0.9853552	0.004556991	0.975316233	0.990457057	1.1009758	0.021967188	1.0736581	1.132876	1.055358472	0.090114163	0.940108893	1.174019608	0.816409891	0.047586861	0.716129032	0.865829478	0.809288233	0.084912201	0.637931034	0.926449788	0.830352776	0.045072787	0.763843648	0.895744681	0.3033679	0.034219675	0.2681737	0.33829403	0.817164577	0.046225472	0.721518987	0.866599799	0.81161014	0.09151839	0.633333333	0.93814433	0.831977514	0.050550787	0.754990926	0.919148936	0.3056764	0.003187849	0.30317944	0.31235635	0.817473537	0.047954223	0.724478595	0.877080666	0.801872308	0.074842345	0.656063618	0.906084656	0.838462531	0.047437465	0.749185668	0.887772194	0.28680855	0.07131999	0.2149876	0.35868347	0.816644494	0.046160635	0.720930233	0.864919355	0.81382076	0.092499745	0.633828996	0.941877794	0.828824396	0.050642908	0.753176044	0.912765957	0.31449583	0.004058384	0.3112544	0.32471445		gru	1	1	hamming
rect	0.7	"7,3,10,3,3,20"	"1,2,1,2"	FALSE	layer	sigmoid	TRUE	adam/0.001	0.95	0	0.7	5	FALSE	FALSE	avg	FALSE	N/A	N/A	N/A	N/A		0.14511186	1.7689278	0.979472822	0.838418394	0.791943338	0.764529915	0.821395776	0.09633252	0.98208483	0.1465272	0.045447234	0.082734086	0.21243468	1.8636367	6.17E-01	0.99169785	2.9040568	0.979231635	0.0074319	0.966818421	0.990574596	0.825228559	0.052948798	0.764304611	0.930142214	0.798511669	0.040918655	0.725623583	0.862420382	0.778025768	0.070854752	0.675105485	0.886125654	0.824919316	0.041713219	0.774954628	0.90212766	0.16678838	0.12777652	0.01824886	0.36386845	0.982951224	0.004693755	0.971890372	0.987586999	1.1590023	0.052648984	1.0862529	1.2366853	1.069290708	0.110903299	0.907441016	1.172340426	0.793584244	0.040984768	0.723112128	0.861304623	0.77961451	0.06192821	0.678111588	0.879689521	0.810922405	0.039722923	0.744299674	0.865942029	0.14998911	0.079336755	0.06971937	0.23779212	0.783884955	0.043616076	0.709202454	0.855548667	0.77927132	0.046478645	0.71007371	0.855018587	0.791490263	0.062354522	0.685667752	0.878623188	0.14948928	0.001247399	0.14732125	0.15193789	0.792704956	0.042276932	0.720467836	0.861499365	0.784420523	0.059154682	0.689038031	0.8828125	0.803638316	0.044220058	0.728013029	0.865942029	0.16168658	0.07299031	0.08831958	0.23779212	0.784956132	0.040515984	0.717647059	0.856447689	0.760013527	0.048896564	0.690045249	0.840095465	0.814580116	0.055358046	0.714983713	0.887681159	0.09982868	0.000671919	0.09899383	lstm	0.8	0.5	hamming
last	1	"3,3,16,3,3,32"	"1,1,2,2"	FALSE	none	tanh	FALSE	sgd/0.01	0.1	0	0.9	5	FALSE	FALSE	max	FALSE	N/A	N/A	N/A	N/A	1.0167488	0.982368588	0.847321558	0.812853186	0.785607196	0.842056933	0.21652797	0.983904935	0.096972786	0.02344601	0.06434251	0.13038388	1.0256982	2.97E-01	0.60988134	1.6453465	0.982402229	0.006409496	0.968751165	0.992146129	0.84040076	0.054250163	0.771918042	0.935813671	0.814009969	0.045077452	0.717635066	0.859824781	0.79668095	0.08144675	0.614310646	0.879032258	0.838526066	0.033283044	0.791288566	0.89787234	0.26884854	0.11776371	0.16716763	0.55371225	0.984086272	0.005231898	0.973998595	0.989482261	1.1021335	0.025869276	1.0664576	1.1392657	1.066736426	0.145224518	0.900181488	1.404411765	0.805212039	0.049548012	0.697508897	0.852903226	0.799401433	0.071021178	0.675862069	0.88844086	0.814516059	0.050938285	0.720588235	0.880851064	0.29310578	0.054568384	0.23759928	0.35732186	0.80539474	0.043762469	0.714448237	0.850299401	0.801841362	0.081551818	0.666666667	0.89787234	0.816053932	0.052137777	0.760469012	0.906382979	0.29223257	0.001928728	0.29046884	0.29663715	0.802595026	0.054887441	0.67896679	0.855491329	0.799936877	0.0660779	0.681481481	0.886817577	0.807677464	0.060733659	0.676470588	0.873188406	0.30702603	0.0821357	0.22354728	0.39338878	0.806230064	0.04420078	0.713004484	0.849902534	0.793120253	0.08035214	0.657024793	0.892223738	0.826483537	0.049035176	0.773139746	0.908510638	0.2626865	0.001320195	0.260877	0.264803		rnn	0.6	0.4	hamming
rect	0.9	"7,3,10,3,3,20"	"2,2"	TRUE	none	sigmoid	FALSE	adagrad/0.01	0.1	2	0.9	1	FALSE	TRUE	max	FALSE	N/A	N/A	N/A	N/A	0.9849459	0.982757054	0.843818665	0.810695905	0.79070275	0.831726354	0.22422263	0.983876347	0.09730968	0.02204194	0.07374217	0.13522804	0.9674329	2.25E-01	0.615748	1.4376252	0.983166648	0.005354858	0.974959743	0.993369924	0.844217253	0.061677926	0.73191408	0.931896123	0.819786685	0.038533186	0.74916388	0.853025937	0.808159694	0.074375163	0.687116564	0.90743338	0.83771039	0.046149551	0.790619765	0.944680851	0.27574462	0.12755361	0.12041807	0.49458426	0.984708644	0.005031973	0.973735067	0.989037849	1.1024704	0.0244247	1.0765291	1.1447979	1.046750328	0.122207509	0.884615385	1.214893617	0.80924654	0.037791009	0.743421053	0.848	0.810019609	0.075614655	0.672619048	0.917888563	0.815272997	0.049387323	0.726384365	0.865957447	0.30744535	0.071786925	0.23425935	0.3805682	0.806689742	0.036798748	0.738853503	0.846231156	0.812577804	0.089846936	0.651685393	0.935433071	0.811888376	0.057885152	0.736972705	0.895744681	0.3074172	0.00308731	0.3051652	0.3151406	0.810261184	0.039284501	0.740659341	0.849405548	0.805324832	0.073449289	0.671314741	0.90819209	0.82139608	0.048423222	0.726384365	0.869565217	0.29344407	0.0861062	0.20489764	0.3805682	0.806596099	0.039256127	0.731656184	0.847761194	0.805365682	0.092165362	0.639194139	0.933125972	0.819275365	0.057603827	0.744416873	0.906382979	0.2837747	0.001918931	0.28147888	0.28682464		rnn	0.5		hamming
